Country,Revenue
United Kingdom,6747156.154
Netherlands,284661.54
EIRE,250001.78
Germany,221509.47
France,196644.05
Australia,137009.77
Switzerland,55739.4
Spain,54756.03
Belgium,40910.96
Sweden,36585.41
Japan,35340.62
Norway,35163.46
Portugal,28995.760000000002
Finland,22326.74
Channel Islands,20076.39
Denmark,18768.14
Italy,16890.51
Cyprus,12858.76
Austria,10154.32
Singapore,9120.39
Poland,7213.14
Israel,6988.4
Greece,4710.52
Iceland,4310.0
Canada,3666.38
Unspecified,2660.77
Malta,2505.47
United Arab Emirates,1902.28
USA,1730.92
Lebanon,1693.88
Lithuania,1661.06
European Community,1291.75
Brazil,1143.6
RSA,1002.3100000000001
Czech Republic,707.72
Bahrain,548.4
Saudi Arabia,131.17
