ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-01,900883.4087749246,552372.9764569483,552372.9764784004,900883.4087749246,900883.4087749246,-348510.4323075966,-348510.4323075966,-348510.4323075966,-348510.4323075966,-348510.4323075966,-348510.4323075966,0.0,0.0,0.0,552372.9764673279
2011-01-01,939909.840659047,473732.0219749311,473732.0219972251,939909.840659047,939909.840659047,-466177.8186732019,-466177.8186732019,-466177.8186732019,-466177.8186732019,-466177.8186732019,-466177.8186732019,0.0,0.0,0.0,473732.0219858451
2011-02-01,978936.2725344112,435533.96017892024,435533.96020109835,978936.2725344112,978936.2725344112,-543402.3123451559,-543402.3123451559,-543402.3123451559,-543402.3123451559,-543402.3123451559,-543402.3123451559,0.0,0.0,0.0,435533.9601892553
2011-03-01,1020599.9930087313,578576.0575883515,578576.0576099736,1020599.9930087313,1020599.9930087313,-442023.93540946883,-442023.93540946883,-442023.93540946883,-442023.93540946883,-442023.93540946883,-442023.93540946883,0.0,0.0,0.0,578576.0575992625
2011-04-01,1066727.6899977904,425222.7459062543,425222.74592607946,1066727.6899977904,1066727.6899977904,-641504.9440817625,-641504.9440817625,-641504.9440817625,-641504.9440817625,-641504.9440817625,-641504.9440817625,0.0,0.0,0.0,425222.7459160279
2011-05-01,1111367.3968892149,647011.6983835384,647011.698404118,1111367.3968892149,1111367.3968892149,-464355.69849560823,-464355.69849560823,-464355.69849560823,-464355.69849560823,-464355.69849560823,-464355.69849560823,0.0,0.0,0.0,647011.6983936066
2011-06-01,1157495.0952638036,606862.6061529216,606862.606173181,1157495.0952638036,1157495.0952638036,-550632.4891005111,-550632.4891005111,-550632.4891005111,-550632.4891005111,-550632.4891005111,-550632.4891005111,0.0,0.0,0.0,606862.6061632925
2011-07-01,1202134.803340153,573112.296353172,573112.2963754216,1202134.803340153,1202134.803340153,-629022.5069760064,-629022.5069760064,-629022.5069760064,-629022.5069760064,-629022.5069760064,-629022.5069760064,0.0,0.0,0.0,573112.2963641466
2011-08-01,1248262.5019864975,615078.0132327288,615078.0132537006,1248262.5019864975,1248262.5019864975,-633184.4887430519,-633184.4887430519,-633184.4887430519,-633184.4887430519,-633184.4887430519,-633184.4887430519,0.0,0.0,0.0,615078.0132434457
2011-09-01,1294390.2007203605,929356.2757278706,929356.2757505805,1294390.2007203605,1294390.2007203605,-365033.92498106905,-365033.92498106905,-365033.92498106905,-365033.92498106905,-365033.92498106905,-365033.92498106905,0.0,0.0,0.0,929356.2757392915
2011-10-01,1339029.9098560445,973306.2760993775,973306.276120383,1339029.9098560445,1339029.9098560445,-365723.6337455104,-365723.6337455104,-365723.6337455104,-365723.6337455104,-365723.6337455104,-365723.6337455104,0.0,0.0,0.0,973306.2761105341
2011-11-01,1385157.6092962513,1126815.0359813378,1126815.0360031028,1385157.6092962513,1385157.6092962513,-258342.5733049545,-258342.5733049545,-258342.5733049545,-258342.5733049545,-258342.5733049545,-258342.5733049545,0.0,0.0,0.0,1126815.0359912969
